,cost,distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,store_forward,vendor,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second
199,7.5,1.5,40.76102066,-73.96903992,1,40.78047943,-73.95733643,0,2,1,1,26,7,27,53,1,1,26,7,36,49
200,25,8.3,40.66726685,-73.98780823,1,40.7420845,-73.9744339,0,1,4,1,8,23,17,5,4,1,8,23,35,5
201,6.5,1.1,40.75004196,-73.9913559,1,40.76252365,-73.98664856,0,1,3,1,21,20,16,21,3,1,21,20,22,42
202,15.5,2.55,40.75901031,-73.98171234,1,40.77539063,-73.95630646,0,2,4,1,29,9,4,9,4,1,29,9,27,7
203,29,9,40.62371826,-74.02384949,2,40.71180344,-74.01574707,0,1,1,1,5,19,32,6,1,1,5,20,0,19
204,6,0.8,40.72658157,-74.00026703,1,40.72230148,-73.98872375,0,2,2,1,13,15,30,40,2,1,13,15,36,35
205,22.5,5.9,40.74768066,-73.95655823,2,40.74855804,-73.98548126,0,1,5,1,30,3,5,37,5,1,30,3,32,20
206,5,0.72,40.73595047,-74.00669861,1,40.74185944,-74.00450134,0,2,5,1,30,16,45,59,5,1,30,16,50,32
207,27,8.3,40.78425598,-73.95136261,2,40.76967239,-73.86360168,1,1,3,1,28,15,48,8,3,1,28,16,16,49
208,13.5,2.87,40.74670029,-73.94313049,1,40.75638962,-73.97644043,0,2,3,1,28,11,50,31,3,1,28,12,6,52
209,8.5,1.6,40.67406464,-73.94577026,2,40.68342972,-73.96691895,0,1,4,1,8,23,12,50,4,1,8,23,21,14
210,7.5,1.5,40.69216919,-73.95285797,1,40.70579147,-73.96671295,0,2,2,1,13,21,38,49,2,1,13,21,47,6
211,16,4.47,40.78615952,-73.94548798,1,40.74100113,-73.98496246,0,2,2,1,13,8,14,34,2,1,13,8,29,16
212,9,1.08,40.73987961,-73.99285126,1,40.74996185,-73.99160004,0,2,2,1,20,9,37,44,2,1,20,9,50,15
213,9.5,1.56,40.72584152,-74.00563812,4,40.73657227,-73.98880005,0,2,2,1,20,11,51,42,2,1,20,12,3,18
214,8.5,2,40.77890778,-73.98509979,1,40.76099014,-73.96684265,0,1,2,1,13,23,44,31,2,1,13,23,53,12
215,7.5,1.61,40.74747086,-74.0007782,1,40.74975967,-73.9797287,0,2,3,1,7,21,17,56,3,1,7,21,25,41
216,6,1.21,40.78749084,-73.97714996,1,40.77524185,-73.98794556,0,2,2,1,6,15,55,25,2,1,6,16,0,42
217,7,0.8,40.76195526,-73.97062683,1,40.75290298,-73.97923279,0,1,3,1,21,13,32,4,3,1,21,13,40,29
218,5.5,0.7,40.77308273,-73.98014832,1,40.76850128,-73.96761322,0,1,2,1,13,15,0,23,2,1,13,15,4,59
219,13,3,40.74584961,-73.9454422,1,40.76423645,-73.97698212,0,2,3,1,7,17,59,33,3,1,7,18,14,41
220,14,3.1,40.79015732,-73.95401001,1,40.75894165,-73.98170471,0,1,0,1,4,12,32,50,0,1,4,12,50,6
221,11,1.1,40.74745941,-73.98660278,2,40.75278854,-74.00408936,0,1,3,1,28,17,50,31,3,1,28,18,7,39
222,6,0.77,40.76208878,-73.97263336,1,40.75434113,-73.97717285,0,2,3,1,7,8,9,30,3,1,7,8,16,43
223,8,1.12,40.74268723,-73.98982239,1,40.73156357,-74.00101471,0,2,3,1,28,9,28,51,3,1,28,9,39,12
224,11,2.2,40.73219299,-73.98027039,1,40.75584412,-73.98706055,0,1,5,1,9,0,46,21,5,1,9,0,59,23
225,45,14.52,40.72959518,-73.95317841,1,40.64661026,-73.79008484,0,2,5,1,2,18,31,7,5,1,2,19,18,6
226,7.5,1.2,40.75702667,-73.97409821,2,40.74496078,-73.97576141,0,1,1,1,5,13,50,29,1,1,5,13,58,18
227,33,11.68,40.74120331,-73.78436279,2,40.64523315,-73.77671814,0,2,2,1,27,18,23,58,2,1,27,18,48,6
228,6.5,1.4,40.72351074,-74.01007843,1,40.74003601,-74.00597382,0,1,2,1,27,23,12,20,2,1,27,23,19,25
229,11,2.72,40.74822998,-73.97116089,1,40.78139114,-73.9493103,0,2,4,1,29,22,1,26,4,1,29,22,13,12
230,5.5,1.06,40.71377182,-74.01027679,1,40.72174072,-74.00430298,0,2,6,1,10,0,22,19,6,1,10,0,26,24
231,7.5,0.84,40.77457809,-73.98087311,6,40.78556824,-73.98020172,0,2,2,1,20,8,41,14,2,1,20,8,51,8
232,9.5,2.04,40.75600052,-73.97444153,1,40.73503876,-73.99202728,0,2,2,1,6,14,14,56,2,1,6,14,26,12
233,6.5,1.04,40.76414871,-73.97895813,1,40.76522064,-73.96600342,0,2,0,1,4,11,56,1,0,1,4,12,4,1
234,10,1.62,40.76414108,-73.97724152,1,40.74839401,-73.99029541,0,2,0,1,4,18,3,43,0,1,4,18,16,39
235,7,1.2,40.75682449,-73.96175385,1,40.75233841,-73.97532654,0,1,2,1,6,19,22,9,2,1,6,19,29,19
236,6,1.28,40.73815536,-73.98077393,1,40.75418854,-73.96910858,0,2,2,1,6,20,37,41,2,1,6,20,41,44
237,11.5,1.97,40.77770996,-73.98204041,2,40.76409149,-73.95440674,0,2,5,1,30,8,23,53,5,1,30,8,38,10
238,7,0.84,40.75799179,-73.99143219,1,40.76794815,-73.98555756,0,2,5,1,2,18,52,47,5,1,2,19,1,28
239,25.5,7.69,40.72000122,-74.00850677,2,40.76055908,-73.96118927,0,2,2,1,20,17,9,51,2,1,20,17,36,48
240,6.5,0.86,40.7565155,-73.96808624,1,40.75281906,-73.9750061,0,2,0,1,11,8,33,58,0,1,11,8,41,36
241,52,17.7,40.80514145,-73.93910217,1,40.64500046,-73.78117371,0,2,4,1,22,15,10,45,4,1,22,16,7,42
242,9,2.16,40.76366043,-73.96557617,1,40.74362564,-73.9859848,0,2,6,1,10,0,30,16,6,1,10,0,41,40
243,10,2.13,40.75033188,-73.99137115,2,40.75954819,-73.96518707,0,2,3,1,14,0,27,2,3,1,14,0,37,49
244,7.5,1.42,40.76308823,-73.97229767,1,40.75820923,-73.98497772,0,2,0,1,18,9,57,39,0,1,18,10,5,30
245,4.5,0.6,40.76366425,-73.98740387,1,40.75649643,-73.99006653,0,1,2,1,20,15,58,17,2,1,20,16,2,20
246,8.5,2.2,40.78300858,-73.97840118,1,40.78274918,-73.95118713,0,2,3,1,21,22,10,13,3,1,21,22,17,17
247,13,3.06,40.68917847,-73.99606323,1,40.72378159,-74.006073,0,2,1,1,26,22,17,8,1,1,26,22,32,2
248,7.5,1,40.74165344,-73.99183655,1,40.73139572,-73.99700165,0,1,4,1,29,16,47,11,4,1,29,16,56,51
249,7.5,1.15,40.71660995,-74.00818634,1,40.71717453,-73.99160004,0,2,0,1,4,19,4,42,0,1,4,19,13,22
250,52,17.05,40.64387512,-73.79016113,5,40.75934601,-73.9861908,0,2,4,1,22,8,14,5,4,1,22,9,10,8
251,4.5,0.5,40.75249481,-73.98725891,1,40.75594711,-73.99068451,0,1,4,1,8,6,3,39,4,1,8,6,7,5
252,23.5,6.2,40.70903778,-74.0141983,1,40.74885941,-73.99216461,0,1,4,1,29,22,20,24,4,1,29,22,44,27
253,15,1.99,40.75394821,-73.97956848,1,40.77043915,-73.95974731,0,2,3,1,14,16,20,15,3,1,14,16,44,17
254,6.5,1.01,40.76065063,-74.00285339,1,40.75553131,-73.99204254,0,2,0,1,25,21,36,57,0,1,25,21,43,25
255,10.5,2,40.7693367,-73.9959259,1,40.75148392,-73.98665619,0,1,0,1,18,15,21,46,0,1,18,15,34,12
256,7,0.71,40.76760483,-73.95319366,5,40.77504349,-73.95909882,0,2,2,1,20,8,27,5,2,1,20,8,36,3
257,16,5.13,40.71865082,-73.94055939,2,40.7520752,-73.97634125,0,2,4,1,29,21,36,14,4,1,29,21,49,19
258,10,1.4,40.77753448,-73.96122742,1,40.78577805,-73.97632599,0,1,3,1,28,16,13,21,3,1,28,16,28,15
259,4,0.55,40.79402924,-73.97572327,6,40.78728104,-73.97908783,0,2,2,1,13,16,58,17,2,1,13,17,1,13
260,6,1.19,40.73921967,-73.99921417,1,40.72570801,-74.00505829,0,2,0,1,18,19,53,41,0,1,18,19,58,17
261,5,0.6,40.77470016,-73.97853088,1,40.7684288,-73.98221588,0,1,2,1,13,9,17,35,2,1,13,9,22,19
262,5.5,0.56,40.75979614,-73.99523163,1,40.75418472,-73.99584961,0,2,4,1,15,14,48,30,4,1,15,14,54,23
263,5,0.7,40.77293015,-73.96606445,1,40.76454163,-73.97061157,0,2,2,1,20,11,50,18,2,1,20,11,54,38
264,9,1.85,40.73709106,-73.97911072,1,40.75791168,-73.97038269,0,2,4,1,29,21,53,0,4,1,29,22,3,24
265,23,5.2,40.66381454,-73.99134064,2,40.72653961,-73.98614502,0,1,4,1,8,21,43,51,4,1,8,22,13,17
266,7,1.3,40.73603821,-73.98602295,5,40.74407959,-74.00701904,0,2,5,1,30,2,10,28,5,1,30,2,17,27
267,3.5,0.44,40.79428864,-73.93920898,1,40.79818344,-73.94190216,0,2,5,1,16,14,33,7,5,1,16,14,34,49
268,5.5,0.66,40.7513504,-73.97766113,1,40.74536133,-73.98027039,0,2,2,1,13,16,50,53,2,1,13,16,55,45
269,9,1.39,40.75757599,-73.97446442,1,40.75535202,-73.98525238,0,2,4,1,29,21,10,23,4,1,29,21,22,1
270,9.5,1.7,40.77050018,-73.98986053,1,40.75521469,-73.98149872,0,1,0,1,4,14,32,16,0,1,4,14,44,38
271,6.5,1.4,40.73983383,-73.98551178,1,40.72462845,-73.98757172,0,1,0,1,25,6,6,39,0,1,25,6,12,10
272,7,0.9,40.76967239,-73.96675873,1,40.76620102,-73.95272827,0,1,1,1,12,13,42,38,1,1,12,13,50,54
273,7,1.32,40.75569534,-73.96804047,1,40.76635361,-73.98356628,0,2,3,1,7,22,27,41,3,1,7,22,34,39
